name_fr
ANGOLA
ALBANIE
BELIZE
BARBADE
BHOUTAN
BOTSWANA
REPUBLIQUE CENTRAFRICAINE
SUISSE
COTE DIVOIRE
FINLANDE
FIDJI
GHANA
HONGRIE
IRLANDE
IRAN
IRAK
JAMAIQUE
KAZAKHSTAN
KIRGHIZISTAN
KOWEIT
SRI LANKA
SAINT-MARTIN (PARTIE FRANCAISE)
MALDIVES
ILES MARSHALL
MONTENEGRO
MAURITANIE
MALAISIE
NIGER
NICARAGUA
PAYS-BAS
NEPAL
NOUVELLE-ZELANDE
PANAMA
PEROU
POLOGNE
TERRITOIRES PALESTINIENS
SYRIE
TAIWAN
ETATS-UNIS
OUZBEKISTAN
VATICAN
YEMEN
ZIMBABWE
EMIRATS ARABES UNIS
SAMOA AMERICAINES
AUSTRALIE
BAHAMAS
BOSNIE-HERZEGOVINE
BERMUDES
CONGO (REP. DEM.)
CAP VERT
COSTA RICA
CURACAO
REPUBLIQUE TCHEQUE
DANEMARK
ESPAGNE
FRANCE
ROYAUME-UNI
GEORGIE
GUINEE
INDONESIE
ILE DE MAN
ISLANDE
JAPON
KENYA
COREE DU SUD
KOSOVO
LESOTHO
LUXEMBOURG
NIGERIA
OMAN
PHILIPPINES
PALAOS
PAPOUASIE-NOUVELLE-GUINEE
RUSSIE
SINGAPOUR
ILES SALOMON
SALVADOR
SAINT-MARIN
SOMALIE
SURINAME
SEYCHELLES
ILES TURQUES-ET-CAIQUES
TCHAD
TUVALU
UGANDA
URUGUAY
SAINT-VINCENT-ET-LES-GRENADINES
VENEZUELA
ANDORRE
ARMENIE
ANTIGUA-ET-BARBUDA
AZERBAIDJAN
BURUNDI
BURKINA FASO
BANGLADESH
BAHREIN
BRESIL
CHINE
CONGO
ALLEMAGNE
DJIBOUTI
DOMINIQUE
EQUATEUR
ESTONIE
ETHIOPIE
GABON
GAMBIE
GUATEMALA
GUAM
HONDURAS
HAITI
ISRAEL
CAMBODGE
KIRIBATI
SAINT-CHRISTOPHE-ET-NIEVES
LIBAN
LIECHTENSTEIN
MACAO (CHINE)
MONACO
MACEDOINE DU NORD
MALTE
BIRMANIE
MALAWI
PAKISTAN
PORTO RICO
PORTUGAL
PARAGUAY
QATAR
ROUMANIE
SENEGAL
SAO TOME-ET-PRINCIPE
SLOVAQUIE
SLOVENIE
SAINT MARTIN (PARTIE NEERLANDAISE)
TOGO
TONGA
TURQUIE
TANZANIE
UKRAINE
ILES VIERGES BRITANNIQUES
VANUATU
AFRIQUE DU SUD
AFGHANISTAN
ARGENTINE
AUTRICHE
QUEBEC
CHILI
CAMEROUN
COLOMBIE
CUBA
REPUBLIQUE DOMINICAINE
ALGERIE
EGYPTE
ERYTHREE
ILES FEROE
GUINEE-EQUATORIALE
GROENLAND
GUYANA
HONG KONG (CHINE)
CROATIE
ITALIE
JORDANIE
LAOS
LIBERIA
LITUANIE
MEXIQUE
NAMIBIE
NORVEGE
NAURU
RWANDA
ARABIE SAOUDITE
SERBIE
SUEDE
ESWATINI
THAILANDE
TADJIKISTAN
TURKMENISTAN
TUNISIE
SAMOA
ZAMBIE
ARUBA
BELGIQUE
BENIN
BULGARIE
BIELORUSSIE
BOLIVIE
BRUNEI
CANADA
COMORES
ILES CAIMANS
CHYPRE
MICRONESIE
GIBRALTAR
GUINEE-BISSAU
GRECE
GRENADE
INDE
LIBYE
SAINTE-LUCIE
LETTONIE
MAROC
MOLDAVIE
MADAGASCAR
MALI
MONGOLIE
ILES MARIANNES DU NORD
MOZAMBIQUE
ILE MAURICE
COREE DU NORD
SOUDAN
SIERRA LEONE
SOUDAN DU SUD
TIMOR ORIENTAL
TRINITE ET TOBAGO
VIET NAM
